#{"t_start": 1521428186.542729, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,23,972.666743
0.0,21,972.891002
2.0,96,973.934478
1.0,69,974.767526
0.0,23,975.048279
0.0,23,975.325435
0.0,23,975.577573
0.0,23,975.831101
1.0,51,976.396776
1.0,53,976.979032
1.0,71,977.776778
0.0,23,978.029972
0.0,21,978.2655
0.0,23,978.521219
1.0,71,979.311063
2.0,98,980.406836
1.0,53,980.991642
1.0,71,981.768223
0.0,21,982.001629
0.0,23,982.256218
0.0,23,982.521137
0.0,23,982.781453
0.0,21,983.012664
0.0,23,983.267577
1.0,70,984.031317
0.0,23,984.279475
2.0,96,985.271175
0.0,23,985.520258
0.0,23,985.770888
0.0,23,986.025482
0.0,23,986.288673
0.0,23,986.538452
0.0,23,986.799095
1.0,72,987.629588
0.0,21,987.875597
0.0,23,988.152032
0.0,23,988.416882
2.0,80,989.33693
0.0,23,989.60422
0.0,23,989.872618
1.0,69,990.68524
0.0,21,990.930074
0.0,23,991.202778
0.0,23,991.469473
0.0,23,991.736886
0.0,23,991.987214
1.0,69,992.683703
1.0,72,993.441464
0.0,23,993.698815
1.0,71,994.482522
0.0,23,994.730972
0.0,23,994.967141
1.0,51,995.502804
0.0,23,995.756454
1.0,49,996.287398
0.0,23,996.56591
2.0,98,997.69673
0.0,23,997.963741
0.0,21,998.205997
0.0,23,998.469986
0.0,23,998.705021
0.0,23,998.929909
0.0,23,999.150604
0.0,23,999.400762
0.0,23,999.648254
0.0,23,999.906398
0.0,23,1000.154577
1.0,71,1000.93962
0.0,21,1001.181368
0.0,23,1001.444231
0.0,23,1001.716749
0.0,23,1001.98035
0.0,23,1002.247996
0.0,21,1002.490755
1.0,68,1003.263667
0.0,23,1003.51829
0.0,23,1003.759996
0.0,21,1003.985439
0.0,21,1004.208669
0.0,21,1004.430504
0.0,23,1004.684568
0.0,23,1004.941223
0.0,23,1005.197466
1.0,51,1005.758398
0.0,23,1006.016005
0.0,23,1006.287481
0.0,23,1006.543083
0.0,21,1006.781647
0.0,21,1007.015764
0.0,23,1007.270455
1.0,69,1008.057894
0.0,21,1008.289074
1.0,72,1009.086533
1.0,71,1009.874088
0.0,23,1010.132736
0.0,23,1010.407283
0.0,23,1010.663466
0.0,23,1010.925519
0.0,21,1011.16143
0.0,23,1011.414508
0.0,23,1011.643524
0.0,23,1011.858501
0.0,23,1012.090058
0.0,21,1012.308785
1.0,51,1012.827272
0.0,23,1013.073791
0.0,23,1013.310303
0.0,21,1013.527339
0.0,23,1013.771136
0.0,23,1014.020949
0.0,23,1014.3004
1.0,67,1015.079793
0.0,23,1015.347951
0.0,23,1015.621952
0.0,23,1015.889991
0.0,23,1016.137493
0.0,23,1016.367311
0.0,23,1016.59643
0.0,23,1016.825773
0.0,23,1017.068665
0.0,23,1017.320718
0.0,21,1017.548588
0.0,23,1017.790548
1.0,69,1018.500997
2.0,118,1019.757098
0.0,23,1019.982494
0.0,21,1020.19271
2.0,98,1021.210579
0.0,21,1021.438747
0.0,23,1021.686941
1.0,69,1022.435556
0.0,23,1022.683311
0.0,23,1022.930204
1.0,49,1023.454394
1.0,72,1024.221426
0.0,23,1024.48948
1.0,67,1025.252113
0.0,23,1025.514387
0.0,23,1025.775632
0.0,23,1026.038346
0.0,23,1026.312751
0.0,21,1026.553273
0.0,21,1026.793028
0.0,21,1027.037971
2.0,119,1028.376037
0.0,23,1028.648955
3.0,129,1030.099815
0.0,23,1030.360765
0.0,23,1030.625543
0.0,23,1030.889423
1.0,53,1031.439541
1.0,68,1032.106994
0.0,21,1032.318505
0.0,23,1032.563349
0.0,23,1032.802399
1.0,69,1033.537307
0.0,23,1033.792537
0.0,23,1034.051316
0.0,23,1034.308156
0.0,21,1034.542931
0.0,23,1034.772449
0.0,23,1034.998001
2.0,98,1036.030216
4.0,152,1037.592974
0.0,23,1037.815019
0.0,23,1038.063679
0.0,23,1038.30299
0.0,23,1038.544557
0.0,23,1038.792382
0.0,23,1039.043464
0.0,23,1039.30917
0.0,21,1039.537307
0.0,23,1039.783692
0.0,23,1040.036996
0.0,23,1040.286363
1.0,69,1040.985289
3.0,149,1042.511948
1.0,75,1043.365203
0.0,23,1043.636461
1.0,74,1044.49276
0.0,23,1044.779647
2.0,96,1045.885634
0.0,23,1046.105631
0.0,23,1046.337494
0.0,23,1046.56558
2.0,98,1047.535619
1.0,71,1048.220357
0.0,23,1048.441542
0.0,23,1048.655946
0.0,23,1048.861238
1.0,69,1049.491736
0.0,21,1049.69003
0.0,23,1049.912
0.0,21,1050.114097
0.0,23,1050.341018
0.0,23,1050.580851
0.0,23,1050.815208
0.0,23,1051.056104
1.0,51,1051.581649
0.0,23,1051.820719
0.0,23,1052.084415
0.0,23,1052.300336
0.0,21,1052.499467
0.0,21,1052.698458
0.0,23,1052.913995
0.0,23,1053.136669
0.0,23,1053.355351
0.0,21,1053.551464
0.0,23,1053.767818
0.0,23,1053.988252
0.0,23,1054.210447
0.0,23,1054.427615
2.0,98,1055.403749
0.0,23,1055.624283
0.0,23,1055.844265
0.0,23,1056.072185
0.0,23,1056.291143
0.0,23,1056.508315
0.0,21,1056.703791
0.0,23,1056.920879
0.0,23,1057.142521
0.0,23,1057.358784
0.0,21,1057.556321
0.0,23,1057.774592
0.0,23,1057.989352
2.0,98,1058.906882
0.0,21,1059.103521
0.0,23,1059.320031
1.0,71,1059.972686
0.0,23,1060.187564
2.0,98,1061.102654
1.0,71,1061.757358
0.0,23,1061.972085
0.0,23,1062.185753
1.0,72,1062.854528
0.0,23,1063.07449
0.0,23,1063.294212
0.0,23,1063.511182
0.0,23,1063.731037
0.0,23,1063.948265
0.0,23,1064.174993
0.0,21,1064.373782
0.0,23,1064.592381
0.0,23,1064.810569
0.0,21,1065.007758
0.0,23,1065.234149
0.0,23,1065.454831
0.0,23,1065.673206
0.0,23,1065.887342
0.0,21,1066.083678
0.0,23,1066.308742
0.0,23,1066.524635
0.0,23,1066.740049
0.0,23,1066.958882
0.0,23,1067.176692
0.0,23,1067.401307
0.0,23,1067.619991
0.0,23,1067.84002
0.0,23,1068.056805
0.0,23,1068.270082
0.0,23,1068.497893
0.0,23,1068.714181
1.0,70,1069.365319
2.0,98,1070.272308
0.0,23,1070.483336
0.0,23,1070.702587
0.0,21,1070.896191
0.0,23,1071.116558
0.0,23,1071.331419
0.0,21,1071.525758
0.0,23,1071.754407
1.0,69,1072.39365
1.0,72,1073.069381
3.0,167,1074.62519
0.0,23,1074.844317
0.0,23,1075.067613
0.0,23,1075.284659
0.0,23,1075.501606
0.0,23,1075.716091
0.0,23,1075.930592
0.0,23,1076.156107
1.0,51,1076.634926
0.0,23,1076.851529
0.0,21,1077.048353
0.0,23,1077.265224
0.0,23,1077.486082
1.0,67,1078.119627
0.0,23,1078.33417
1.0,70,1078.986982
0.0,23,1079.202122
0.0,23,1079.423625
0.0,23,1079.637589
0.0,23,1079.85575
0.0,23,1080.068266
0.0,23,1080.279402
0.0,23,1080.500182
0.0,23,1080.717995
0.0,23,1080.931917
0.0,23,1081.147503
0.0,23,1081.36007
1.0,51,1081.837276
0.0,23,1082.055426
0.0,23,1082.271209
0.0,21,1082.467395
0.0,23,1082.681853
1.0,70,1083.334052
0.0,23,1083.548519
0.0,23,1083.764453
0.0,23,1083.976297
2.0,100,1084.904959
0.0,23,1085.123296
0.0,23,1085.335937
0.0,21,1085.53231
0.0,23,1085.746117
0.0,23,1085.960554
0.0,23,1086.181382
1.0,67,1086.800518
1.0,51,1087.273836
0.0,23,1087.485621
0.0,23,1087.697546
0.0,23,1087.922609
2.0,98,1088.822812
0.0,21,1089.018228
1.0,71,1089.673704
1.0,51,1090.146131
1.0,69,1090.794556
0.0,23,1091.006827
0.0,23,1091.219295
0.0,21,1091.4159
1.0,72,1092.079544
0.0,23,1092.301337
0.0,21,1092.498624
0.0,23,1092.722566
0.0,23,1092.936547
0.0,23,1093.14848
1.0,69,1093.795044
1.0,72,1094.469714
0.0,23,1094.684523
2.0,124,1095.837997
0.0,23,1096.051713
0.0,23,1096.273232
0.0,23,1096.484509
0.0,21,1096.681457
2.0,96,1097.568934
0.0,23,1097.781261
0.0,23,1098.003272
0.0,21,1098.200335
0.0,23,1098.414694
0.0,23,1098.62923
0.0,23,1098.844248
0.0,23,1099.065178
1.0,69,1099.710201
0.0,23,1099.923139
0.0,23,1100.136653
1.0,51,1100.610805
0.0,23,1100.833274
1.0,69,1101.469404
0.0,23,1101.68342
0.0,21,1101.877865
0.0,23,1102.08614
0.0,23,1102.305761
0.0,23,1102.519851
0.0,21,1102.71575
0.0,23,1102.928912
0.0,23,1103.140972
0.0,23,1103.360125
0.0,23,1103.572723
1.0,53,1104.062583
1.0,68,1104.689955
0.0,21,1104.884615
0.0,23,1105.101963
0.0,23,1105.314288
0.0,23,1105.526231
0.0,23,1105.739458
0.0,23,1105.956161
0.0,23,1106.182592
1.0,49,1106.634497
0.0,23,1106.853892
0.0,21,1107.052976
0.0,23,1107.267094
0.0,23,1107.492346
0.0,21,1107.691226
0.0,23,1107.906873
0.0,23,1108.119862
0.0,23,1108.332355
1.0,69,1108.971019
0.0,21,1109.16981
0.0,23,1109.383371
0.0,23,1109.601479
0.0,21,1109.795356
0.0,23,1110.017838
0.0,21,1110.215017
0.0,23,1110.430943
0.0,23,1110.644511
0.0,23,1110.85826
0.0,23,1111.082393
0.0,23,1111.29893
0.0,23,1111.513166
0.0,23,1111.725785
0.0,21,1111.921735
0.0,23,1112.141628
0.0,23,1112.358287
2.0,96,1113.243872
0.0,23,1113.463079
0.0,23,1113.680469
0.0,23,1113.899246
0.0,23,1114.110514
0.0,23,1114.325606
1.0,69,1114.964587
0.0,23,1115.178554
0.0,23,1115.401012
0.0,21,1115.598619
1.0,68,1116.227327
1.0,49,1116.675425
0.0,23,1116.889656
0.0,23,1117.112454
0.0,23,1117.326186
0.0,23,1117.540121
1.0,49,1117.990467
0.0,23,1118.204452
0.0,23,1118.422402
0.0,23,1118.637196
0.0,23,1118.852509
1.0,69,1119.492618
0.0,21,1119.688079
0.0,23,1119.910809
0.0,21,1120.106675
2.0,98,1121.010075
0.0,21,1121.206973
1.0,71,1121.862701
0.0,23,1122.081417
0.0,23,1122.297967
0.0,23,1122.511817
0.0,23,1122.725689
0.0,23,1122.940635
0.0,23,1123.161233
0.0,21,1123.355265
0.0,23,1123.566994
0.0,23,1123.777489
0.0,23,1123.989586
0.0,23,1124.21504
0.0,23,1124.431728
0.0,23,1124.648511
0.0,21,1124.842984
0.0,23,1125.056748
0.0,23,1125.27852
0.0,23,1125.492917
0.0,21,1125.685865
0.0,23,1125.899505
1.0,49,1126.349099
0.0,23,1126.568599
0.0,23,1126.780606
0.0,23,1126.994657
0.0,23,1127.213024
0.0,23,1127.428253
0.0,23,1127.650519
0.0,23,1127.864743
0.0,23,1128.078934
0.0,23,1128.294388
0.0,23,1128.511429
0.0,23,1128.731657
0.0,23,1128.943434
0.0,23,1129.160061
0.0,21,1129.35707
0.0,21,1129.553303
0.0,23,1129.776937
0.0,23,1129.996391
0.0,23,1130.208382
0.0,23,1130.420182
0.0,23,1130.632419
1.0,51,1131.116897
1.0,68,1131.750058
1.0,70,1132.40106
1.0,74,1133.079236
0.0,23,1133.294992
1.0,70,1133.941398
0.0,23,1134.15817
0.0,23,1134.372721
1.0,71,1135.030919
0.0,23,1135.244058
0.0,23,1135.462235
0.0,23,1135.671252
0.0,21,1135.864667
0.0,23,1136.07817
1.0,67,1136.698287
0.0,23,1136.919224
0.0,23,1137.132592
0.0,23,1137.346758
0.0,23,1137.562449
0.0,23,1137.775527
0.0,23,1137.996789
0.0,21,1138.191367
0.0,23,1138.407118
0.0,23,1138.619903
1.0,51,1139.09273
0.0,23,1139.317813
0.0,23,1139.534148
0.0,21,1139.733124
3.0,148,1141.102585
0.0,23,1141.315232
0.0,23,1141.537761
1.0,51,1142.013668
0.0,23,1142.227025
0.0,23,1142.440827
0.0,23,1142.653163
0.0,23,1142.876403
0.0,23,1143.091879
2.0,99,1144.006197
0.0,23,1144.219625
0.0,23,1144.430645
0.0,23,1144.65079
1.0,69,1145.290066
0.0,23,1145.506967
0.0,21,1145.701782
0.0,23,1145.913697
0.0,23,1146.138452
1.0,72,1146.810671
0.0,23,1147.023192
0.0,23,1147.233585
0.0,23,1147.447533
0.0,23,1147.667787
0.0,23,1147.883784
0.0,23,1148.098926
0.0,23,1148.317035
0.0,21,1148.512128
1.0,72,1149.182602
0.0,23,1149.397154
2.0,123,1150.536271
0.0,23,1150.749435
0.0,21,1150.946242
1.0,69,1151.587693
0.0,23,1151.802469
1.0,72,1152.468884
1.0,71,1153.124245
0.0,23,1153.336491
1.0,71,1153.998742
0.0,23,1154.212529
0.0,23,1154.428915
0.0,23,1154.643928
0.0,21,1154.838262
1.0,69,1155.485806
0.0,23,1155.700904
0.0,23,1155.916556
0.0,23,1156.130119
0.0,23,1156.342771
0.0,23,1156.562344
0.0,23,1156.780607
0.0,23,1156.991417
0.0,23,1157.209328
0.0,23,1157.426805
0.0,23,1157.646653
0.0,23,1157.863296
0.0,21,1158.061681
0.0,23,1158.280045
1.0,72,1158.945348
0.0,23,1159.164933
0.0,23,1159.379808
0.0,23,1159.595185
0.0,23,1159.807253
0.0,21,1160.0046
0.0,23,1160.229949
1.0,51,1160.702024
0.0,21,1160.900238
0.0,23,1161.117009
0.0,21,1161.311781
2.0,98,1162.231477
0.0,21,1162.427662
0.0,23,1162.643837
0.0,21,1162.840995
0.0,23,1163.054848
0.0,23,1163.274907
0.0,23,1163.488282
0.0,23,1163.705764
2.0,96,1164.590669
0.0,23,1164.806079
0.0,23,1165.032614
0.0,23,1165.248751
0.0,23,1165.462413
0.0,23,1165.677778
0.0,23,1165.890952
0.0,23,1166.11483
0.0,23,1166.327132
0.0,23,1166.546413
0.0,21,1166.744816
0.0,23,1166.957318
0.0,23,1167.180499
0.0,23,1167.396574
0.0,21,1167.590056
0.0,23,1167.803878
0.0,23,1168.018092
0.0,23,1168.238264
2.0,96,1169.121575
0.0,21,1169.316824
0.0,23,1169.529054
0.0,21,1169.724233
0.0,23,1169.945921
0.0,23,1170.15747
2.0,118,1171.246059
0.0,23,1171.460006
0.0,23,1171.674454
0.0,23,1171.899463
0.0,21,1172.096701
2.0,121,1173.215485
0.0,23,1173.43239
0.0,23,1173.65105
1.0,53,1174.15487
0.0,21,1174.35165
0.0,23,1174.569955
0.0,23,1174.787642
1.0,51,1175.262469
2.0,100,1176.189244
1.0,53,1176.685335
0.0,23,1176.897286
0.0,21,1177.090451
0.0,23,1177.302215
0.0,23,1177.522669
0.0,23,1177.736447
1.0,69,1178.37013
1.0,72,1179.039761
0.0,21,1179.236668
0.0,23,1179.461083
0.0,23,1179.675982
0.0,23,1179.888458
0.0,21,1180.083323
2.0,98,1180.988101
0.0,23,1181.212374
0.0,23,1181.427917
2.0,117,1182.506953
0.0,23,1182.723607
0.0,23,1182.936021
2.0,98,1183.842678
0.0,21,1184.038561
1.0,71,1184.69356
0.0,23,1184.911826
1.0,53,1185.402782
1.0,51,1185.883947
0.0,23,1186.09757
1.0,71,1186.756956
0.0,23,1186.971061
1.0,52,1187.452825
0.0,23,1187.672421
1.0,69,1188.311923
0.0,23,1188.525412
0.0,21,1188.720949
0.0,23,1188.936674
0.0,23,1189.160057
0.0,23,1189.373853
0.0,21,1189.569885
0.0,23,1189.783469
0.0,23,1189.996845
0.0,23,1190.217
0.0,23,1190.432312
0.0,23,1190.64713
0.0,23,1190.862514
0.0,23,1191.075486
0.0,23,1191.296585
0.0,23,1191.50971
0.0,23,1191.7288
0.0,23,1191.942265
0.0,21,1192.139552
0.0,23,1192.362479
0.0,23,1192.577945
0.0,21,1192.771762
0.0,23,1192.986206
0.0,21,1193.181968
0.0,23,1193.401382
0.0,23,1193.618205
2.0,99,1194.530241
0.0,23,1194.749151
1.0,73,1195.421287
0.0,23,1195.6445
0.0,21,1195.838912
0.0,23,1196.053464
0.0,23,1196.266475
1.0,51,1196.736866
0.0,23,1196.957483
0.0,23,1197.174041
0.0,21,1197.367911
0.0,23,1197.586039
0.0,23,1197.801681
0.0,23,1198.02334
0.0,23,1198.237498
0.0,23,1198.451129
0.0,23,1198.664113
0.0,23,1198.873906
0.0,23,1199.097008
0.0,23,1199.309088
0.0,21,1199.503122
0.0,23,1199.719952
0.0,23,1199.932081
0.0,23,1200.151395
0.0,23,1200.365603
0.0,23,1200.581215
0.0,21,1200.774269
0.0,23,1200.986296
0.0,23,1201.209223
0.0,21,1201.404982
0.0,23,1201.620904
0.0,23,1201.836051
0.0,21,1202.033075
2.0,82,1202.799213
0.0,23,1203.014472
0.0,23,1203.228818
0.0,23,1203.443005
0.0,23,1203.656522
3.0,147,1205.025654
0.0,21,1205.22111
1.0,71,1205.870327
1.0,72,1206.534165
0.0,21,1206.733203
1.0,69,1207.383701
0.0,21,1207.580122
1.0,51,1208.050746
1.0,72,1208.713807
0.0,23,1208.929841
0.0,23,1209.151045
0.0,21,1209.347517
0.0,23,1209.562927
0.0,23,1209.776423
0.0,23,1209.993345
0.0,23,1210.222364
0.0,21,1210.417763
1.0,68,1211.046131
0.0,23,1211.259854
0.0,23,1211.478146
0.0,23,1211.703799
0.0,23,1211.920456
0.0,23,1212.13413
0.0,21,1212.33238
0.0,23,1212.548225
0.0,23,1212.768652
0.0,23,1212.983547
0.0,21,1213.179973
0.0,23,1213.400507
0.0,21,1213.60017
0.0,23,1213.826457
0.0,23,1214.040489
0.0,23,1214.257968
0.0,23,1214.470368
0.0,23,1214.689021
0.0,23,1214.913616
0.0,23,1215.127635
0.0,23,1215.347492
0.0,23,1215.563754
0.0,23,1215.785793
0.0,23,1216.009629
0.0,23,1216.224095
0.0,21,1216.423148
0.0,23,1216.637894
0.0,21,1216.833191
0.0,23,1217.052846
0.0,23,1217.270577
0.0,23,1217.481839
1.0,49,1217.938821
0.0,23,1218.150918
0.0,23,1218.372799
1.0,51,1218.846719
2.0,100,1219.771984
2.0,120,1220.887126
0.0,21,1221.079156
0.0,23,1221.299265
0.0,23,1221.515668
0.0,21,1221.712744
0.0,21,1221.909155
0.0,23,1222.12618
0.0,23,1222.345516
0.0,23,1222.558428
0.0,23,1222.770912
0.0,21,1222.968172
0.0,23,1223.184737
2.0,98,1224.100856
1.0,71,1224.756881
1.0,72,1225.416709
0.0,21,1225.611474
1.0,74,1226.297611
0.0,23,1226.518309
0.0,23,1226.73435
0.0,23,1226.950911
0.0,23,1227.164267
1.0,51,1227.636009
0.0,23,1227.858729
2.0,100,1228.784562
0.0,23,1228.999777
0.0,21,1229.324394
0.0,23,1229.642608
0.0,23,1229.901682
0.0,23,1230.125163
0.0,23,1230.337976
0.0,23,1230.555653
0.0,21,1230.75161
0.0,23,1230.97503
0.0,23,1231.187408
0.0,21,1231.384829
0.0,23,1231.597648
0.0,21,1231.793461
0.0,23,1232.014538
0.0,23,1232.229931
0.0,23,1232.445281
0.0,23,1232.657717
0.0,23,1232.870396
0.0,23,1233.093346
0.0,23,1233.307727
0.0,23,1233.520413
0.0,23,1233.733413
0.0,23,1233.947342
0.0,23,1234.171666
0.0,23,1234.386006
0.0,23,1234.599548
0.0,23,1234.815455
0.0,23,1235.032514
0.0,23,1235.258182
0.0,23,1235.477475
0.0,23,1235.692309
1.0,67,1236.312781
0.0,23,1236.526448
0.0,23,1236.75059
2.0,101,1237.688288
2.0,121,1238.805804
0.0,23,1239.018264
0.0,23,1239.233087
0.0,23,1239.456371
0.0,23,1239.66861
0.0,23,1239.882807
1.0,51,1240.351764
0.0,23,1240.564963
0.0,23,1240.784279
0.0,21,1240.981066
1.0,68,1241.606325
0.0,23,1241.822223
1.0,51,1242.297732
1.0,53,1242.795702
0.0,21,1242.989122
0.0,23,1243.211426
0.0,23,1243.426298
0.0,23,1243.635288
0.0,23,1243.853703
1.0,51,1244.326246
0.0,21,1244.523669
0.0,23,1244.735949
1.0,52,1245.215167
0.0,23,1245.435499
0.0,23,1245.652012
0.0,23,1245.864881
2.0,96,1246.753807
1.0,72,1247.415459
0.0,23,1247.636981
1.0,69,1248.275435
0.0,21,1248.47317
0.0,23,1248.688832
0.0,23,1248.903188
0.0,23,1249.124356
0.0,23,1249.337217
0.0,23,1249.550897
1.0,67,1250.170544
1.0,51,1250.642408
1.0,69,1251.292472
0.0,23,1251.503966
0.0,23,1251.721212
0.0,23,1251.937157
0.0,21,1252.130835
0.0,23,1252.350018
0.0,21,1252.54535
0.0,23,1252.761078
0.0,21,1252.958042
0.0,21,1253.152444
0.0,23,1253.377426
0.0,21,1253.570542
0.0,21,1253.767578
1.0,51,1254.242224
0.0,21,1254.438373
1.0,69,1255.082847
0.0,23,1255.297662
0.0,23,1255.512319
0.0,23,1255.727149
0.0,23,1255.938997
0.0,23,1256.158655
0.0,21,1256.355084
1.0,51,1256.826357
0.0,23,1257.040643
0.0,23,1257.253503
0.0,23,1257.472973
0.0,21,1257.669067
0.0,21,1257.866166
0.0,23,1258.08433
0.0,23,1258.298356
0.0,23,1258.520272
2.0,98,1259.43143
0.0,23,1259.648406
1.0,71,1260.30453
2.0,118,1261.391572
0.0,23,1261.611351
0.0,21,1261.806639
0.0,23,1262.02165
0.0,23,1262.234434
0.0,23,1262.447672
0.0,23,1262.667343
0.0,23,1262.880045
0.0,21,1263.073343
1.0,68,1263.708654
0.0,23,1263.924005
0.0,23,1264.143809
0.0,23,1264.357067
0.0,21,1264.551439
2.0,96,1265.4364
0.0,23,1265.649345
0.0,23,1265.870492
0.0,23,1266.084142
1.0,70,1266.736198
0.0,23,1266.949627
0.0,23,1267.161708
0.0,23,1267.384386
0.0,23,1267.599457
1.0,67,1268.221039
0.0,23,1268.431784
0.0,23,1268.646275
0.0,23,1268.872246
0.0,23,1269.0866
0.0,23,1269.304569
0.0,23,1269.517816
0.0,23,1269.732776
0.0,23,1269.955493
0.0,23,1270.170398
1.0,51,1270.642359
0.0,23,1270.858253
0.0,23,1271.070407
0.0,23,1271.290572
0.0,23,1271.525906
0.0,21,1271.723516
0.0,23,1271.936632
0.0,23,1272.14599
0.0,23,1272.371173
1.0,67,1272.990723
0.0,23,1273.209084
0.0,23,1273.423154
0.0,23,1273.638356
0.0,23,1273.857244
0.0,23,1274.073343
3.0,153,1275.486399
0.0,23,1275.701601
0.0,23,1275.91505
0.0,23,1276.137296
0.0,23,1276.351284
0.0,23,1276.570358
0.0,21,1276.766725
0.0,23,1276.98065
0.0,23,1277.203407
0.0,23,1277.421739
0.0,23,1277.636857
0.0,21,1277.830808
0.0,21,1278.026536
0.0,23,1278.247848
1.0,67,1278.864784
0.0,23,1279.078468
1.0,70,1279.729887
0.0,23,1279.945404
1.0,51,1280.421212
0.0,23,1280.634297
0.0,23,1280.847852
1.0,69,1281.476101
0.0,23,1281.689879
0.0,23,1281.909524
0.0,23,1282.126456
0.0,23,1282.338792
0.0,23,1282.550215
0.0,21,1282.744394
0.0,23,1282.969057
0.0,21,1283.165139
0.0,23,1283.377061
0.0,21,1283.57094
0.0,21,1283.765456
0.0,23,1283.988166
0.0,21,1284.182179
0.0,21,1284.376162
0.0,23,1284.589109
0.0,23,1284.802852
0.0,23,1285.021888
0.0,21,1285.215559
1.0,69,1285.849848
0.0,23,1286.063489
0.0,23,1286.276402
0.0,23,1286.498084
0.0,23,1286.713112
0.0,23,1286.927741
0.0,21,1287.126324
0.0,23,1287.341223
0.0,23,1287.562273
0.0,21,1287.759186
0.0,23,1287.97333
0.0,23,1288.185935
0.0,23,1288.398454
0.0,23,1288.617155
0.0,21,1288.811968
0.0,21,1289.010324
0.0,23,1289.228284
0.0,23,1289.440358
0.0,23,1289.661959
0.0,23,1289.877835
0.0,21,1290.073285
2.0,100,1290.995248
0.0,21,1291.190196
0.0,23,1291.411539
0.0,23,1291.628137
0.0,23,1291.840084
0.0,23,1292.055205
2.0,96,1292.940299
0.0,23,1293.162977
0.0,23,1293.378505
0.0,23,1293.597435
0.0,23,1293.810785
0.0,23,1294.026765
0.0,23,1294.249418
0.0,23,1294.46771
0.0,23,1294.68448
0.0,23,1294.899535
3.0,146,1296.256775
1.0,53,1296.754119
0.0,23,1296.967988
0.0,21,1297.161478
0.0,23,1297.374704
1.0,51,1297.845104
2.0,100,1298.775585
0.0,21,1298.970562
0.0,23,1299.185995
0.0,23,1299.399725
0.0,21,1299.59568
0.0,23,1299.818129
0.0,21,1300.012764
0.0,23,1300.227271
0.0,23,1300.441694
0.0,23,1300.657076
0.0,23,1300.882099
0.0,21,1301.079007
0.0,23,1301.295623
0.0,23,1301.50801
0.0,23,1301.724077
0.0,23,1301.950767
0.0,23,1302.165299
1.0,51,1302.634648
1.0,51,1303.108835
0.0,23,1303.32333
1.0,69,1304.004155
0.0,23,1304.22238
0.0,23,1304.440565
1.0,72,1305.116884
1.0,71,1305.786437
0.0,23,1306.014461
0.0,23,1306.232241
0.0,21,1306.431428
1.0,69,1307.082155
0.0,23,1307.293441
0.0,23,1307.512566
1.0,69,1308.150627
0.0,23,1308.367009
0.0,23,1308.582005
0.0,23,1308.799919
0.0,23,1309.025409
0.0,23,1309.238278
0.0,21,1309.434763
1.0,70,1310.083724
0.0,23,1310.29896
1.0,69,1310.945231
0.0,23,1311.16471
0.0,23,1311.382652
1.0,51,1311.862396
0.0,21,1312.06228
0.0,23,1312.286357
0.0,21,1312.482894
0.0,21,1312.684684
2.0,96,1313.578704
0.0,23,1313.79427
0.0,23,1314.019585
0.0,23,1314.234654
0.0,23,1314.452485
0.0,23,1314.667235
0.0,23,1314.88143
0.0,23,1315.105354
0.0,23,1315.32172
0.0,23,1315.536714
0.0,21,1315.734619
0.0,23,1315.949497
2.0,98,1316.877992
0.0,23,1317.100306
0.0,23,1317.317906
0.0,23,1317.532285
0.0,23,1317.752527
1.0,69,1318.402741
0.0,23,1318.616541
0.0,23,1318.836407
2.0,100,1319.761107
1.0,72,1320.41775
0.0,23,1320.636642
1.0,71,1321.303729
0.0,23,1321.520486
1.0,51,1322.012298
0.0,21,1322.232883
0.0,23,1322.463479
2.0,118,1323.839395
0.0,23,1324.087118
0.0,23,1324.316059
0.0,21,1324.528642
2.0,84,1325.376713
0.0,23,1325.6092
0.0,23,1325.84233
0.0,21,1326.05172
3.0,145,1327.560068
0.0,23,1327.81302
0.0,23,1328.054177
0.0,23,1328.299917
0.0,21,1328.523271
0.0,21,1328.74567
0.0,23,1329.002305
2.0,100,1330.019865
0.0,23,1330.263711
0.0,23,1330.502305
0.0,23,1330.738604
0.0,23,1330.990015
0.0,23,1331.231059
0.0,23,1331.474895
0.0,21,1331.705868
0.0,23,1331.964169
1.0,69,1332.701525
0.0,23,1332.946059
0.0,23,1333.188464
0.0,23,1333.444969
2.0,120,1334.782441
0.0,23,1335.044646
0.0,23,1335.285793
0.0,23,1335.526547
0.0,21,1335.738535
0.0,23,1335.96217
0.0,23,1336.197771
0.0,23,1336.426907
0.0,23,1336.652377
0.0,23,1336.866697
0.0,21,1337.061047
1.0,71,1337.748442
0.0,23,1337.960174
0.0,23,1338.173836
0.0,23,1338.402411
0.0,23,1338.64186
0.0,23,1338.894617
0.0,23,1339.13151
0.0,23,1339.377567
0.0,23,1339.629506
0.0,23,1339.882751
0.0,23,1340.151291
0.0,23,1340.400737
0.0,23,1340.664417
0.0,23,1340.921991
0.0,23,1341.175006
2.0,121,1342.450624
0.0,23,1342.700454
1.0,72,1343.490368
0.0,21,1343.717735
0.0,23,1343.978616
0.0,23,1344.238622
0.0,23,1344.484241
0.0,23,1344.732689
0.0,23,1344.983604
0.0,23,1345.231359
0.0,23,1345.487625
1.0,51,1346.035719
0.0,23,1346.283414
0.0,21,1346.510459
0.0,21,1346.735076
1.0,72,1347.49737
0.0,23,1347.756864
0.0,23,1348.017619
