#{"t_start": 1521428186.542729, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,23,13.13657
0.0,23,13.159563
0.0,23,13.18262
0.0,23,13.205163
0.0,23,13.234807
0.0,23,13.25782
0.0,23,13.28086
0.0,23,13.303922
0.0,23,13.326542
0.0,23,13.358764
0.0,23,13.381821
0.0,23,13.40491
0.0,23,13.427979
0.0,23,13.450594
0.0,23,13.482411
1.0,69,13.547223
0.0,23,13.570269
0.0,21,13.591526
1.0,51,13.639795
0.0,23,13.668322
0.0,23,13.691363
0.0,23,13.714703
0.0,23,13.737734
1.0,51,13.786145
0.0,23,13.816639
0.0,23,13.839653
0.0,23,13.86273
0.0,23,13.885798
0.0,23,13.908367
0.0,23,13.938037
1.0,70,14.003801
0.0,23,14.02687
0.0,21,14.048133
0.0,21,14.069263
1.0,51,14.123383
0.0,23,14.146438
0.0,23,14.169494
1.0,50,14.21714
1.0,51,14.268748
2.0,98,14.368249
0.0,23,14.391379
0.0,23,14.414497
0.0,23,14.437583
0.0,23,14.460306
0.0,23,14.489672
0.0,23,14.51274
0.0,23,14.535808
0.0,23,14.558815
0.0,23,14.581484
1.0,70,14.652876
0.0,23,14.675931
0.0,23,14.698887
0.0,23,14.721981
0.0,21,14.742936
0.0,23,14.773832
0.0,23,14.796884
0.0,23,14.819963
0.0,23,14.84302
0.0,21,14.863951
0.0,23,14.89638
1.0,69,14.961287
0.0,23,14.984392
0.0,23,15.007495
0.0,23,15.030166
0.0,23,15.060633
0.0,23,15.08371
0.0,21,15.105029
0.0,23,15.128152
0.0,23,15.15084
0.0,23,15.18238
0.0,23,15.205475
0.0,23,15.228572
0.0,23,15.251687
0.0,23,15.274296
0.0,23,15.306616
0.0,23,15.329591
0.0,23,15.352652
0.0,23,15.375753
0.0,23,15.398365
0.0,23,15.427542
0.0,23,15.45062
0.0,23,15.47372
0.0,23,15.496779
0.0,23,15.519381
1.0,69,15.593786
0.0,23,15.616978
0.0,23,15.640045
0.0,23,15.663223
0.0,23,15.685904
0.0,23,15.71524
0.0,23,15.738336
0.0,23,15.761413
0.0,23,15.784421
0.0,21,15.80541
0.0,23,15.838197
0.0,23,15.861362
0.0,21,15.882613
0.0,23,15.905728
0.0,21,15.926688
0.0,23,15.955842
0.0,23,15.978994
0.0,23,16.002123
0.0,23,16.025303
0.0,23,16.047967
0.0,23,16.079738
0.0,23,16.102855
0.0,21,16.124154
0.0,23,16.147269
0.0,21,16.168287
0.0,23,16.199553
0.0,23,16.222667
0.0,23,16.245774
0.0,23,16.268895
0.0,23,16.291602
3.0,147,16.436449
0.0,23,16.459615
1.0,53,16.510115
1.0,70,16.576055
1.0,72,16.643277
0.0,23,16.67383
0.0,23,16.696903
0.0,23,16.71999
0.0,23,16.743129
0.0,21,16.764144
0.0,23,16.795145
0.0,23,16.818206
0.0,23,17.837096
0.0,23,18.104598
0.0,23,18.385646
0.0,23,18.658305
0.0,23,18.914576
0.0,21,19.157509
0.0,23,19.419358
0.0,23,19.656442
0.0,23,19.913723
0.0,23,20.179756
0.0,23,20.460394
0.0,21,20.715509
0.0,23,20.993205
1.0,51,21.612882
0.0,23,21.890005
0.0,23,22.167898
0.0,21,22.41838
0.0,23,22.689838
0.0,23,22.944672
0.0,23,23.190172
0.0,23,23.453603
0.0,23,23.72596
0.0,23,23.997975
0.0,23,24.279734
0.0,23,24.550597
0.0,23,24.819786
0.0,21,25.0654
0.0,23,25.334898
0.0,23,25.617318
3.0,147,27.318507
0.0,23,27.589267
0.0,21,27.835496
3.0,170,29.79126
2.0,98,30.780461
1.0,71,31.524848
0.0,23,31.777813
0.0,21,32.010732
0.0,21,32.24085
0.0,23,32.507994
0.0,23,32.772472
0.0,23,33.034177
0.0,23,33.296825
0.0,21,33.535018
0.0,23,33.779735
0.0,21,33.993197
0.0,21,34.209864
0.0,23,34.445444
1.0,67,35.125285
0.0,23,35.368639
0.0,21,35.583035
0.0,23,35.818101
0.0,23,36.05533
0.0,23,36.289047
2.0,119,37.461434
0.0,21,37.678975
1.0,72,38.431336
0.0,23,38.671388
0.0,23,38.915077
0.0,23,39.166725
0.0,23,39.411853
0.0,23,39.658095
0.0,21,39.89372
2.0,98,40.983401
1.0,51,41.557663
0.0,23,41.813381
0.0,23,42.073518
0.0,23,42.32899
0.0,21,42.561497
0.0,23,42.829036
0.0,23,43.083335
0.0,21,43.31902
0.0,23,43.573969
3.0,172,45.481149
0.0,23,45.731364
0.0,23,45.971096
0.0,23,46.207364
0.0,23,46.444724
0.0,23,46.680359
0.0,23,46.935241
1.0,51,47.486634
0.0,23,47.737071
0.0,21,47.96647
0.0,21,48.198086
0.0,23,48.435359
0.0,21,48.64647
0.0,23,48.885595
0.0,23,49.128328
0.0,23,49.354688
1.0,51,49.872217
0.0,23,50.107813
0.0,23,50.344121
0.0,23,50.593041
0.0,23,50.84158
0.0,23,51.110434
0.0,21,51.342252
0.0,21,51.573894
0.0,23,51.779514
1.0,69,52.440933
0.0,23,52.690131
1.0,51,53.237159
1.0,50,53.776274
1.0,72,54.551456
0.0,21,54.78127
0.0,23,55.047712
0.0,21,55.27701
0.0,21,55.504853
2.0,119,56.793665
0.0,23,57.050233
0.0,23,57.314607
0.0,23,57.565343
0.0,21,57.794361
0.0,21,58.023379
0.0,23,58.273664
0.0,23,58.540412
0.0,21,58.768327
2.0,96,59.804985
0.0,23,60.055233
0.0,21,60.284824
0.0,23,60.530055
0.0,23,60.76518
0.0,21,61.000622
2.0,99,62.114821
2.0,84,63.064561
1.0,53,63.677626
0.0,21,63.918743
0.0,23,64.179238
0.0,21,64.416883
1.0,68,65.181953
2.0,98,66.293264
0.0,21,66.51903
0.0,21,66.716773
2.0,100,67.804256
0.0,23,68.070653
0.0,23,68.311064
0.0,23,68.53732
0.0,23,68.761534
1.0,51,69.256333
1.0,51,69.751473
0.0,23,70.002106
1.0,51,70.526263
0.0,21,70.742113
0.0,23,70.98759
0.0,23,71.232822
2.0,98,72.282999
2.0,121,73.618917
1.0,67,74.355357
0.0,23,74.615406
1.0,70,75.38672
1.0,71,76.067707
0.0,23,76.298565
0.0,23,76.533896
0.0,21,76.746993
0.0,23,76.984872
0.0,23,77.230424
1.0,67,77.916935
0.0,23,78.154645
0.0,21,78.374011
0.0,23,78.609465
0.0,23,78.86179
2.0,98,79.90872
1.0,71,80.676198
1.0,72,81.455858
1.0,74,82.254732
0.0,23,82.501871
0.0,21,82.714912
0.0,21,82.927652
0.0,23,83.162601
0.0,23,83.395553
0.0,23,83.644628
0.0,23,83.889755
0.0,23,84.138324
0.0,21,84.364341
0.0,23,84.612682
0.0,23,84.867379
0.0,21,85.092955
0.0,23,85.34385
0.0,23,85.58891
0.0,23,85.836125
0.0,23,86.110198
0.0,23,86.372241
0.0,23,86.631644
0.0,23,86.874231
0.0,21,87.09632
0.0,23,87.345779
0.0,23,87.588662
1.0,53,88.137856
0.0,23,88.379011
0.0,23,88.621763
1.0,69,89.354019
0.0,23,89.597008
0.0,23,89.838687
0.0,23,90.083158
0.0,23,90.325043
0.0,23,90.576009
0.0,21,90.798908
0.0,21,91.018514
0.0,23,91.258212
0.0,23,91.51014
0.0,23,91.756792
1.0,69,92.45985
1.0,50,92.977362
0.0,21,93.203303
0.0,23,93.472917
0.0,23,93.732644
2.0,96,94.745207
0.0,23,94.991647
0.0,21,95.217628
0.0,23,95.465317
0.0,23,95.683061
0.0,23,95.894445
0.0,23,96.121
0.0,23,96.352757
1.0,67,97.036146
1.0,69,97.794101
0.0,21,98.022618
0.0,23,98.275186
0.0,23,98.530971
0.0,23,98.798609
0.0,23,99.063747
0.0,23,99.306829
0.0,23,99.554641
0.0,23,99.80156
0.0,23,100.045116
0.0,23,100.299315
0.0,23,100.543591
0.0,23,100.788705
0.0,23,101.03753
0.0,23,101.281848
2.0,98,102.331551
0.0,23,102.57726
0.0,21,102.803739
0.0,23,103.049437
0.0,23,103.293226
0.0,23,103.550488
0.0,23,103.798682
0.0,23,104.040843
0.0,23,104.286662
0.0,23,104.531675
1.0,51,105.045759
0.0,23,105.273276
0.0,23,105.504194
0.0,23,105.747589
1.0,53,106.300148
0.0,23,106.552301
0.0,21,106.786454
0.0,23,107.040468
0.0,23,107.296802
0.0,23,107.551591
0.0,23,107.825056
0.0,21,108.059114
0.0,23,108.316331
0.0,23,108.572375
0.0,23,108.830663
0.0,23,109.097164
1.0,51,109.657305
1.0,53,110.187642
0.0,23,110.403246
1.0,54,110.920802
0.0,23,111.166054
0.0,23,111.404681
0.0,23,111.64354
0.0,21,111.863021
0.0,23,112.115626
0.0,23,112.378716
0.0,23,112.624658
0.0,23,112.874723
0.0,23,113.124013
0.0,23,113.37258
0.0,23,113.634472
0.0,21,113.864611
0.0,23,114.115735
0.0,23,114.366308
0.0,21,114.606926
0.0,23,114.889742
0.0,23,115.157283
0.0,23,115.424934
0.0,23,115.693754
0.0,21,115.939798
0.0,23,116.224806
0.0,23,116.494846
0.0,23,116.765584
0.0,23,117.037211
0.0,23,117.308246
0.0,23,117.592971
0.0,21,117.844594
0.0,23,118.117405
0.0,23,118.391718
0.0,23,118.662608
0.0,23,118.951909
0.0,21,119.198813
2.0,120,120.450257
1.0,50,120.964825
1.0,71,121.72083
0.0,23,121.981185
0.0,23,122.229459
0.0,23,122.477471
0.0,23,122.728166
0.0,23,122.974705
0.0,23,123.232512
0.0,23,123.478566
1.0,51,124.060039
0.0,23,124.322298
1.0,51,124.905174
0.0,23,125.14824
0.0,23,125.399509
0.0,23,125.650819
0.0,23,125.899124
0.0,23,126.156376
0.0,23,126.436917
0.0,23,126.702173
0.0,23,126.967177
0.0,23,127.229097
0.0,23,127.492622
0.0,23,127.740579
0.0,21,127.967052
0.0,23,128.219924
0.0,23,128.472519
0.0,23,128.722816
0.0,23,128.993324
1.0,71,129.704277
0.0,23,129.936715
0.0,21,130.14862
0.0,23,130.38049
2.0,123,131.688446
0.0,23,131.933604
0.0,21,132.161803
0.0,23,132.404523
0.0,23,132.65544
0.0,23,132.924998
0.0,23,133.184797
1.0,51,133.751969
1.0,69,134.520099
0.0,23,134.778474
0.0,23,135.018209
0.0,21,135.239568
0.0,23,135.48929
0.0,23,135.736516
0.0,23,135.986786
0.0,23,136.248772
0.0,23,136.498309
1.0,71,137.294554
0.0,23,137.557945
0.0,23,137.821122
0.0,23,138.080802
0.0,23,138.326883
0.0,23,138.582035
0.0,23,138.84099
0.0,21,139.07735
0.0,23,139.313466
0.0,23,139.543041
0.0,23,139.777105
0.0,21,139.992169
0.0,23,140.22641
1.0,69,140.968443
0.0,21,141.198312
0.0,23,141.44423
0.0,23,141.694885
0.0,23,141.954262
0.0,23,142.230057
1.0,70,143.021565
0.0,23,143.28694
0.0,23,143.551021
0.0,21,143.791731
0.0,23,144.020218
0.0,23,144.252058
2.0,100,145.335957
0.0,21,145.566455
2.0,100,146.652327
0.0,23,146.87869
0.0,23,147.091972
0.0,21,147.287103
0.0,23,147.507995
0.0,23,147.739521
2.0,100,148.824322
0.0,21,149.052233
0.0,23,149.302088
0.0,23,149.552976
0.0,23,149.802463
0.0,23,150.063056
1.0,49,150.59041
0.0,23,150.840437
0.0,23,151.092718
0.0,21,151.321486
0.0,23,151.586323
0.0,23,151.83878
0.0,23,152.089844
0.0,23,152.340069
0.0,23,152.58991
0.0,23,152.847356
2.0,119,154.202207
0.0,21,154.47777
0.0,23,154.782646
0.0,23,155.083035
1.0,69,155.806418
0.0,23,156.079199
0.0,23,156.356741
0.0,23,156.631554
0.0,23,156.905566
1.0,69,157.732522
0.0,23,158.009354
0.0,23,158.286972
0.0,23,158.564381
0.0,23,158.839938
0.0,23,159.127177
0.0,21,159.380474
1.0,69,160.207302
0.0,23,160.483054
0.0,23,160.760456
0.0,23,161.014697
0.0,23,161.255289
0.0,23,161.493746
0.0,23,161.736968
1.0,71,162.479198
1.0,53,163.034783
0.0,21,163.251001
0.0,23,163.489037
0.0,21,163.704885
0.0,23,163.953691
0.0,23,164.21629
0.0,21,164.446377
0.0,23,164.698235
0.0,23,164.948823
0.0,23,165.19664
0.0,23,165.457454
0.0,23,165.709161
0.0,23,165.969759
0.0,21,166.215369
0.0,23,166.485522
0.0,23,166.720679
0.0,21,166.919077
2.0,82,167.770673
0.0,23,168.023395
0.0,23,168.273831
0.0,23,168.535676
3.0,149,170.146322
0.0,23,170.399041
0.0,23,170.65101
0.0,23,170.898887
0.0,23,171.157348
1.0,51,171.686509
2.0,100,172.609563
0.0,23,172.835683
3.0,149,174.359887
0.0,23,174.606243
1.0,67,175.291197
0.0,23,175.544382
0.0,23,175.794784
0.0,21,176.025401
0.0,23,176.28441
0.0,23,176.538173
0.0,23,176.787979
1.0,51,177.343777
0.0,23,177.593846
0.0,23,177.85833
0.0,23,178.106902
0.0,23,178.357811
1.0,71,179.12494
0.0,23,179.375443
0.0,23,179.636059
1.0,72,180.394764
3.0,166,182.146378
0.0,23,182.396611
0.0,21,182.627222
0.0,23,182.88943
0.0,23,183.140514
0.0,23,183.397347
1.0,52,183.999113
0.0,23,184.265786
0.0,23,184.532232
0.0,23,184.791408
1.0,51,185.36337
0.0,23,185.629202
0.0,23,185.894179
0.0,23,186.16791
0.0,23,186.428592
0.0,23,186.693404
0.0,23,186.953159
0.0,23,187.216797
0.0,23,187.492529
0.0,21,187.729407
0.0,23,187.991257
0.0,23,188.255521
0.0,23,188.516835
0.0,23,188.789727
0.0,23,189.051795
0.0,23,189.312931
0.0,23,189.574114
1.0,51,190.194608
0.0,23,190.493598
0.0,21,190.755074
0.0,21,191.014881
0.0,23,191.299078
0.0,23,191.582536
0.0,23,191.80366
0.0,21,192.020341
0.0,23,192.275649
0.0,21,192.506007
0.0,23,192.7546
0.0,23,193.016901
0.0,23,193.269588
0.0,23,193.520761
